GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LinkedList,com.github.coderodde.util.benchmark,LinkedListBenchmark.BenchmarkChoice,15,0,0,0,1,0,1,0,1,0
LinkedList,com.github.coderodde.util.benchmark,LinkedListBenchmark,2154,0,75,0,591,0,152,0,114,0
LinkedList,com.github.coderodde.util.benchmark,LinkedListBenchmarkRunner,20,0,0,0,8,0,1,0,1,0
LinkedList,com.github.coderodde.util,Finger,12,47,2,4,2,12,2,5,1,3
LinkedList,com.github.coderodde.util,IndexedLinkedList.DescendingIterator,12,118,4,8,3,26,4,8,0,6
LinkedList,com.github.coderodde.util,IndexedLinkedList.LinkedListSpliterator,0,182,0,16,0,48,0,16,0,8
LinkedList,com.github.coderodde.util,IndexedLinkedList.EnhancedSubList.new ListIterator() {...},98,0,8,0,21,0,14,0,10,0
LinkedList,com.github.coderodde.util,IndexedLinkedList,392,2570,53,255,87,631,47,206,11,87
LinkedList,com.github.coderodde.util,IndexedLinkedList.EnhancedSubList,281,136,15,5,61,39,35,10,26,9
LinkedList,com.github.coderodde.util,IndexedLinkedList.BasicIterator,0,136,0,12,0,31,0,12,0,6
LinkedList,com.github.coderodde.util,IndexedLinkedList.EnhancedIterator,6,246,2,24,1,56,2,23,0,12
LinkedList,com.github.coderodde.util,IndexedLinkedList.FingerList,42,905,6,64,9,172,6,55,1,25
LinkedList,com.github.coderodde.util,Node,4,6,0,0,1,3,1,1,1,1
